"","country","year","child_mortality","life_expectancy","dalys","GINI_coef","GDP_percap","child_elderly_per100","govspending_percentoftotal","total_healthspending","gov_share_healthspending","privateshare"
"1","Afghanistan",1995,150,51.1,91435.5600562498,36.8,NA,100,NA,NA,NA,NA
"2","Afghanistan",1996,145,51.4,89343.7935409802,36.8,NA,101,NA,NA,NA,NA
"3","Afghanistan",1997,141,51.1,89603.6890325463,36.8,NA,102,NA,NA,NA,NA
"4","Afghanistan",1998,137,50.1,92889.3110370671,36.8,NA,103,NA,NA,NA,NA
"5","Afghanistan",1999,133,51.5,88708.2644737095,36.8,NA,103,NA,NA,NA,NA
"6","Afghanistan",2000,130,51.6,88007.2707653564,36.8,NA,103,NA,NA,NA,NA
"7","Afghanistan",2001,126,51.7,87059.0677756311,36.8,NA,103,NA,NA,NA,NA
"8","Afghanistan",2002,122,52.4,81936.1630710162,36.8,179,102,1.48,5.72,5.62,94.4
"9","Afghanistan",2003,118,53,79011.7493892429,36.8,191,101,1.48,6.82,6.83,93.2
"10","Afghanistan",2004,114,53.5,78126.901766145,36.8,211,100,1.48,6.36,7.81,92.2
"11","Afghanistan",2005,110,53.9,75879.6138008017,36.8,242,99.1,1.48,6.63,11.6,88.5
"12","Afghanistan",2006,106,54.1,75742.3191710595,36.8,264,99.6,1.48,6.77,11.8,88.2
"13","Afghanistan",2007,102,54.6,74522.0456988803,36.8,360,100,1.48,7.3,12.2,87.8
"14","Afghanistan",2008,98.2,55.2,71463.853664266,36.8,365,100,1.48,6.98,11.8,88.2
"15","Afghanistan",2009,94.1,55.7,69850.8563324786,36.8,438,100,1.58,7.58,11.6,88.4
"16","Afghanistan",2010,90.2,56.2,67908.0081905116,36.8,543,99.5,1.59,7.58,11.7,88.3
"17","Albania",1995,32.9,74.1,29787.5488488856,27.2,751,64.2,5.26,2.56,50,50
"18","Albania",1996,31.5,74.3,29877.5661514711,27.5,1010,63.2,6.34,4.04,39.6,60.4
"19","Albania",1997,30.1,72.5,33372.2327810319,28,717,62.2,6.47,4.81,39.2,60.8
"20","Albania",1998,28.7,74.3,28834.0672979322,28.6,814,61.4,6.1,5.34,39.5,60.5
"21","Albania",1999,27.4,74.4,29065.9109337457,29.4,1030,60.6,7.18,5.83,43.3,56.7
"22","Albania",2000,26,74.4,29406.9315449909,30.2,1130,59.6,7.03,6.35,36.1,63.9
"23","Albania",2001,24.8,74.5,28215.2300366394,30.7,1280,58.7,7.24,6.04,38.2,61.8
"24","Albania",2002,23.5,74.5,27844.0041238371,31,1430,57.6,7.32,6.28,36.1,63.9
"25","Albania",2003,22.4,74.6,27543.5374960681,31.1,1850,56.4,7.64,6.16,35.9,64.1
"26","Albania",2004,21.4,74.7,27187.8703766891,31,2370,55,9.23,6.88,39.7,60.3
